Request Rate,Policy Verification Avg (ms),Policy Verification P95 (ms),Access Flow Avg (ms),Access Flow P95 (ms),ZK Proof Avg (ms)
1,9.628321052631572,20.485399999999572,24.032168421053363,45.17120000000432,41.00920000000019
2,14.099699999999725,21.408799999997427,27.48847931034558,39.65610000000743,48.22929999999997
4,14.12156122448928,20.46860000000015,31.717208163264832,39.5798000000068,39.805874999999105
8,15.339686516853945,20.23359999999957,33.47492696629138,39.82749999999942,34.62096250000059
16,14.693380473372976,20.301600000006147,27.18930355029645,39.16860000000452,35.68962499999907
32,15.560427384615043,20.466400000004796,20.276706079028703,37.77969999998459,35.634865625000316
64,14.308689526184597,20.29900000001362,18.55711456953569,34.851699999999255,35.558903124999915
128,14.088894033413128,20.371799999993527,18.07357915789416,33.84179999999469,778.6392234375003
256,13.20210513392856,20.09299999999348,17.724904743082288,32.36329999999725,1483.3452410156247
512,13.026988513513716,19.937999999994645,18.15785241935508,36.38589999999385,2636.847758203126
1024,13.083037782805352,20.015199999994365,17.96117621951247,35.981300000014016,4796.851822363283
2048,13.380796774192998,20.130199999985052,18.485553549696668,37.05929999999353,N/A
4096,13.749448837208979,20.042000000015832,18.003299196786994,34.43379999999888,N/A
8192,12.947763718821912,20.162799999990966,18.230561145194265,36.83340000000317,N/A
10000,13.076468119266192,20.11009999999078,17.36207875243779,34.65110000001732,N/A