Request Rate,Policy Verification (tx/s),Access Flow (tx/s),ZK Proof (tx/s)
1,1.898670930348756,1.898101898101898,24.356975837879943
2,2.8968135051443413,2.898550724637681,3.3387337351499404
4,4.897061762942235,4.896572399320475,4.355245626598446
8,8.885782747603834,8.897330800759772,6.830822138113922
16,16.87468796804793,16.896620675864828,10.217670874260959
32,32.46428928179003,32.883558220889554,14.70958002769997
64,40.06794564348521,45.281887245101956,18.501641659337057
128,41.81636726546906,47.41938704202855,126.2147553923526
256,44.69719644816921,50.5141259858241,139.61409138113117
512,44.28927680798005,49.58016793282687,147.94893935347574
1024,44.147023571713945,49.11159912158115,161.09018284648178
2048,43.27881930594336,49.255669897092616,N/A
4096,42.8884899261919,49.77511244377811,N/A
8192,44.05594405594405,48.895110488951104,N/A
10000,43.543393588335164,51.27948820471811,N/A